age,income,credit_score,website_visits,email_opens,property_views,contact_attempts,time_on_site_minutes,inquiry_submitted,financing_pre_approved,budget_disclosed,location_preference_set,lead_score
46,411897,411,29,14,12,4,44,0,1,1,1,Medium
33,150118,594,16,11,7,6,28,1,0,0,1,Low
26,244418,488,22,11,9,4,30,0,0,0,1,Medium
55,302028,364,10,9,4,2,33,0,0,1,0,Low
69,146481,764,17,17,11,7,31,0,1,0,1,Medium
58,98259,557,15,11,7,4,29,0,1,0,0,Low
36,79810,630,10,7,6,3,34,0,1,1,1,Low
65,159926,800,18,10,6,6,34,0,1,0,0,Medium
57,34761,509,11,7,5,1,15,0,0,0,0,Low
36,496382,388,28,17,9,7,46,0,1,1,1,Medium
64,288414,327,21,14,12,4,37,1,1,0,0,Medium
69,46375,537,6,12,5,1,27,0,1,0,1,Low
44,268117,635,22,13,12,3,37,0,1,1,1,Medium
27,448434,362,25,14,8,4,45,0,0,0,0,Low
67,191637,799,19,13,15,3,35,1,1,0,1,High
65,132654,840,17,12,7,1,40,1,0,1,1,Medium
64,325119,768,21,11,12,3,68,0,1,0,0,Medium
66,188145,350,17,6,4,3,24,0,1,0,1,Medium
42,230798,411,21,8,8,2,25,1,0,0,0,Medium
44,162955,600,14,12,7,2,41,0,0,1,1,Medium
64,491638,389,29,13,16,2,48,0,0,1,1,Medium
37,210701,528,16,11,8,1,31,1,0,1,1,Medium
68,225242,449,14,13,7,1,34,0,0,0,1,Low
36,104489,437,9,8,4,3,23,0,1,1,0,Low
46,38381,434,12,3,1,2,20,0,1,0,0,Low
57,446454,756,29,17,13,8,51,1,0,0,1,High
32,174867,793,17,9,10,5,34,0,1,0,1,Medium
36,92999,826,17,7,8,6,41,0,1,0,0,Medium
25,342051,632,20,16,8,4,49,1,1,0,1,Medium
42,432854,661,24,8,10,5,39,0,0,1,1,Medium
34,362611,473,26,12,11,6,42,0,0,1,1,Medium
43,334767,512,20,14,11,1,39,0,0,1,0,Medium
40,199564,642,19,13,7,4,42,1,0,1,0,Medium
55,449627,360,22,9,7,4,31,0,1,1,0,Medium
35,402868,360,21,10,9,3,42,1,0,1,0,Medium
25,181606,823,19,14,10,4,49,1,1,1,1,High
69,452397,515,19,16,5,6,47,0,0,0,1,Low
67,395213,722,29,18,11,2,39,0,1,0,0,Medium
48,49996,722,12,8,10,3,29,1,0,0,0,Low
50,233161,670,29,12,8,6,34,1,1,1,0,High
68,135682,505,14,16,6,1,31,0,0,0,1,Low
49,375753,585,18,7,10,6,44,0,1,0,1,Medium
56,495882,404,24,17,7,1,52,1,0,0,1,Medium
29,190477,842,15,11,11,4,37,1,0,0,1,Medium
37,393634,541,28,13,7,6,46,0,0,0,0,Low
63,287972,790,25,11,7,4,36,1,0,0,1,Medium
57,101325,797,15,7,11,2,36,0,0,0,0,Medium
51,58930,734,11,16,6,1,41,1,1,1,0,Medium
39,406570,783,31,13,20,4,57,1,0,0,1,Medium
23,47529,746,13,9,9,2,33,0,0,1,1,Low
34,83546,683,18,9,10,3,29,1,1,1,0,Medium
25,300086,809,13,11,17,5,45,0,1,0,1,Medium
47,299692,469,20,14,7,0,41,0,1,1,0,Medium
46,407392,622,20,15,14,3,50,1,0,0,1,Medium
51,441512,773,32,17,6,3,46,0,1,1,0,Medium
32,212088,531,15,13,14,3,24,0,0,1,1,Medium
28,127780,658,19,8,6,3,25,0,0,0,0,Low
52,292440,574,16,11,7,1,48,0,0,1,1,Low
65,97945,331,5,5,4,1,14,0,1,1,1,Low
31,89980,476,10,6,5,0,32,1,0,1,1,Medium
60,348926,364,15,11,9,3,33,0,0,0,0,Low
34,195301,326,11,8,4,2,19,0,0,1,1,Low
52,126382,778,17,13,10,2,32,1,0,1,1,Medium
28,83444,567,16,4,3,3,18,1,1,1,0,Medium
63,327180,365,13,7,1,4,32,0,0,1,0,Low
63,290186,432,25,10,6,2,31,1,0,1,0,Medium
57,331466,665,30,12,16,1,48,1,1,0,0,High
41,188239,381,14,13,3,2,24,0,0,0,0,Low
25,343811,627,8,18,10,3,56,0,1,1,1,Medium
28,124527,397,9,7,9,1,19,0,1,0,1,Low
22,113337,626,14,16,5,1,26,0,1,0,0,Low
65,343612,841,30,19,8,3,45,1,0,0,1,High
66,102894,424,4,8,7,1,21,0,0,1,1,Low
63,476300,509,26,17,10,2,42,0,1,1,0,Medium
68,93138,432,10,5,4,1,23,0,0,0,1,Low
34,314732,802,32,13,11,7,40,1,1,1,0,High
43,355045,456,22,17,5,2,40,0,0,0,1,Low
42,440887,681,32,20,18,3,55,1,1,0,0,Medium
43,113038,321,10,6,5,2,21,1,0,1,0,Low
49,454861,718,17,16,18,2,53,0,1,1,1,High
30,168709,771,15,10,10,5,43,0,1,0,1,Medium
47,423876,533,24,16,14,4,40,0,0,0,1,Medium
30,399355,753,23,6,16,7,61,0,1,0,0,Medium
36,299066,461,20,10,7,5,30,0,1,1,0,Medium
31,123697,600,14,12,6,2,27,0,1,0,0,Low
45,205793,605,13,10,11,3,41,0,0,0,1,Low
63,480472,301,17,11,8,6,30,1,0,1,0,Medium
29,282097,570,20,15,13,3,38,0,0,1,0,Medium
45,409361,720,26,29,15,8,63,0,1,0,0,Medium
37,361650,442,16,17,14,3,40,0,1,1,1,Medium
47,230015,834,23,20,15,4,41,1,0,0,1,Medium
48,154338,336,8,10,9,5,20,1,0,1,0,Medium
58,57843,406,8,5,5,1,20,0,1,0,0,Low
25,170118,596,12,10,10,3,39,0,0,0,1,Low
45,487201,396,19,9,10,6,41,0,1,0,0,Low
40,395208,580,13,9,12,1,39,1,0,0,1,Medium
57,257997,409,14,9,5,6,34,1,0,0,1,Medium
60,156417,848,16,8,12,5,42,1,1,0,1,Medium
31,146585,487,8,17,5,0,24,0,1,1,0,Medium
46,60346,787,13,8,17,1,32,0,1,1,0,Medium
39,249356,653,13,13,9,1,33,0,1,1,1,Medium
40,415296,318,16,11,8,5,34,0,1,1,0,Medium
57,403913,692,23,18,16,1,46,0,0,1,1,Medium
31,132391,560,13,14,4,1,36,1,1,0,0,Low
54,476742,709,17,31,14,4,52,0,1,0,0,Medium
26,365287,702,29,21,17,5,53,1,0,1,1,Medium
68,328931,783,23,15,14,5,52,0,1,0,1,High
56,325727,603,24,17,9,7,28,0,0,1,0,Low
65,173635,317,4,9,6,2,23,0,1,0,0,Low
55,207132,483,10,8,11,4,30,1,0,1,0,Medium
54,290609,704,22,14,10,0,48,0,1,1,0,Medium
42,151943,430,9,8,6,0,28,1,0,0,1,Low
38,275534,778,22,12,13,4,45,0,0,0,0,Low
43,194762,307,17,8,4,0,25,0,1,0,0,Medium
69,403377,617,18,13,14,3,46,0,0,1,0,Medium
58,255784,690,19,12,9,2,31,0,1,1,1,Medium
36,44925,818,18,7,14,3,41,1,1,0,1,Medium
56,247859,435,10,9,4,2,26,0,1,0,0,Medium
49,113184,830,17,10,10,1,30,1,1,0,1,High
28,443324,666,25,15,11,9,42,1,1,0,1,High
53,106515,788,11,16,4,3,37,1,1,0,1,Medium
32,229330,310,11,11,6,1,12,0,0,0,0,Low
31,166427,745,12,6,15,3,34,1,1,1,0,Medium
30,338213,413,17,14,7,5,46,0,1,0,0,Medium
35,255407,495,19,15,10,5,35,0,1,1,1,Medium
34,130854,622,9,20,10,1,30,1,0,0,1,Low
46,346615,811,22,15,19,7,47,1,0,0,0,Medium
23,324849,464,27,24,8,2,27,0,0,0,0,Medium
56,204981,551,16,11,10,1,31,0,1,1,1,Medium
28,249678,343,21,7,3,3,35,0,0,1,0,Medium
42,158501,769,10,11,4,1,39,1,0,0,1,Medium
39,146361,788,20,7,11,2,47,1,1,1,1,High
24,214811,480,20,6,8,1,26,0,0,1,0,Medium
63,237892,376,20,10,8,3,21,0,1,0,0,Low
60,117273,673,12,9,7,1,29,0,0,1,1,Low
62,315385,366,20,10,7,5,37,1,0,1,1,Medium
32,450630,824,25,20,16,6,54,1,1,1,1,High
60,80818,391,5,6,4,2,22,1,0,1,1,Low
45,181967,543,17,11,4,2,39,0,0,1,1,Low
67,384451,640,24,14,14,1,50,1,0,0,0,Medium
40,223481,603,11,13,15,2,28,1,0,0,1,Medium
25,478540,697,27,23,14,7,56,0,0,0,1,Medium
47,359064,747,18,12,9,4,59,0,1,0,0,Medium
59,476771,396,18,18,13,2,41,0,0,0,1,Low
63,148642,630,19,7,6,0,34,1,1,1,1,Medium
53,357597,504,21,15,6,2,42,0,1,0,1,Medium
60,314833,748,18,12,12,1,50,0,0,0,0,Low
66,225428,717,17,23,12,2,30,0,1,0,0,Medium
67,254083,376,15,8,6,3,26,0,0,0,1,Low
57,431468,848,27,21,13,2,54,1,1,0,0,High
61,322988,724,24,12,7,1,47,1,0,1,1,Medium
58,125687,728,20,8,19,7,41,0,0,0,0,Low
54,315509,784,21,12,17,1,42,0,1,0,1,Medium
57,167098,434,12,8,8,2,20,0,0,0,0,Low
24,390447,553,28,11,22,2,44,0,0,1,0,Low
30,320667,554,29,7,10,5,25,0,1,0,1,Medium
29,171554,798,31,16,14,6,35,0,1,0,0,Medium
54,142105,783,22,15,5,4,44,1,1,0,0,Medium
27,341032,345,16,9,5,3,28,0,0,0,0,Low
62,143884,742,19,7,5,6,31,1,1,0,1,Medium
60,136968,303,9,5,7,1,24,0,0,0,1,Low
25,342254,300,17,16,5,2,30,0,0,0,1,Medium
34,251716,589,16,10,7,4,51,0,1,1,0,Medium
23,423709,408,18,11,7,6,48,1,0,0,0,Medium
26,479410,759,31,14,9,3,60,0,1,0,1,High
65,112001,565,10,11,5,3,24,0,0,0,0,Low
48,69767,437,12,6,6,1,16,0,1,1,1,Low
53,59550,733,17,7,9,3,18,1,1,0,1,Medium
42,174905,343,13,3,6,2,22,0,0,0,0,Low
29,164042,809,24,8,8,6,47,0,0,0,0,Medium
59,128315,561,15,10,4,3,27,0,0,0,1,Low
29,125494,451,8,5,1,3,25,1,1,1,0,Low
24,157424,512,12,10,3,3,22,0,1,0,1,Low
65,405999,533,18,7,14,2,42,0,0,1,1,Medium
24,112681,660,13,11,8,4,29,0,1,0,1,Medium
43,393633,619,24,20,6,2,37,0,0,0,0,Low
27,210249,521,8,8,5,0,26,0,1,0,0,Medium
23,490558,509,23,14,18,9,54,1,1,0,1,High
44,422690,695,32,18,13,3,55,0,0,0,0,Low
65,282411,788,25,12,12,6,48,0,1,0,0,High
23,494416,763,29,17,15,6,44,1,1,1,0,High
59,222573,751,19,9,11,3,37,0,0,1,0,Medium
38,58900,712,23,5,14,3,23,1,1,0,1,Medium
56,44126,775,8,14,8,4,16,0,1,0,1,Low
55,141198,555,10,3,8,1,42,0,0,1,1,Low
44,231762,449,22,8,9,5,20,1,1,1,0,Medium
51,248816,426,17,12,5,2,25,0,1,0,1,Medium
29,371447,691,20,13,14,0,52,1,0,1,1,High
43,246651,779,20,12,6,1,41,0,1,0,0,Medium
65,471210,696,30,18,10,4,50,0,1,1,1,High
57,359205,701,24,11,8,7,57,0,0,1,0,Low
26,46978,573,12,8,8,3,34,0,1,0,0,Low
34,86344,438,12,6,4,2,19,0,0,1,0,Low
50,338792,402,14,15,6,7,28,0,0,0,1,Low
52,293199,541,17,14,7,2,39,1,0,1,1,Medium
68,105582,416,4,6,10,2,36,1,1,1,0,Low
37,262459,513,18,8,9,1,34,1,0,1,0,Medium
63,111214,783,17,21,8,3,39,0,0,0,0,Low
51,468092,828,33,24,6,9,52,1,0,0,1,High
37,253232,523,10,15,9,2,29,0,1,0,1,Medium
33,400098,569,23,11,8,2,34,0,1,1,1,Medium
38,68725,433,10,5,5,6,25,1,0,0,1,Low
37,428471,413,19,13,7,1,37,0,1,1,0,Medium
33,498163,740,30,21,9,7,63,1,1,1,1,High
29,345524,664,25,26,13,6,43,1,1,0,1,Medium
41,275720,531,14,13,7,3,51,1,1,1,0,Medium
24,83333,757,15,9,7,2,40,1,1,0,1,Medium
37,334603,674,24,15,17,3,41,0,0,1,0,Medium
51,408662,506,17,16,10,2,43,1,0,0,1,Medium
66,291910,819,18,12,13,7,46,1,0,1,1,Medium
44,328307,767,22,21,10,9,49,0,0,1,0,Medium
49,195043,742,28,10,6,1,43,1,1,1,0,Medium
61,226221,620,16,11,10,4,36,1,1,0,1,Medium
26,376874,392,12,10,8,0,26,1,1,1,1,High
41,311620,707,19,9,4,7,43,1,0,1,0,Medium
61,360724,457,17,7,11,4,40,1,1,1,0,Medium
65,281831,398,11,7,7,4,23,0,0,1,0,Low
22,397720,524,22,13,12,5,40,1,1,0,0,Medium
51,378737,740,23,20,8,3,42,1,0,1,1,Medium
42,230122,700,34,10,8,7,36,0,1,0,1,Medium
41,236598,363,13,10,6,3,31,1,0,1,0,Medium
27,401215,578,30,14,19,4,45,0,1,1,0,Medium
43,144832,818,16,11,6,2,37,0,1,1,0,Medium
39,430723,547,20,15,13,4,45,1,1,1,1,High
29,493609,667,22,11,8,3,52,0,1,1,0,Medium
60,173190,397,18,4,4,3,20,0,1,0,0,Low
53,211601,567,18,10,6,1,25,0,1,0,1,Medium
54,98682,359,6,5,5,1,24,0,1,1,1,Medium
37,253009,799,25,16,10,3,55,0,0,1,0,Medium
33,477392,607,32,17,20,4,64,0,1,0,0,Medium
59,276553,792,25,16,11,3,49,1,1,0,0,High
55,383857,710,27,21,12,8,48,1,1,0,0,Medium
35,396204,439,21,10,3,2,29,1,0,0,0,Medium
57,165486,627,13,8,7,0,36,1,1,1,1,Medium
54,113030,763,26,14,9,2,31,1,1,0,1,Medium
44,150360,462,13,3,10,3,22,0,1,0,1,Low
66,378117,359,24,17,4,2,28,0,1,0,0,Medium
23,485353,330,27,15,14,1,52,0,0,1,0,Medium
62,165009,632,9,9,8,3,37,0,0,0,1,Low
42,328875,375,31,15,8,2,33,0,0,0,0,Low
23,199737,616,16,12,8,6,29,0,0,0,0,Low
48,497726,716,30,20,15,8,66,0,1,1,1,Medium
30,440716,489,21,11,11,2,36,0,0,1,1,Medium
22,144360,788,19,19,7,6,33,0,1,1,0,Medium
32,293894,614,23,17,12,4,32,0,0,0,0,Low
24,95018,595,13,6,9,1,25,0,1,0,1,Low
44,427243,800,31,20,19,1,54,0,1,0,0,Medium
47,270904,476,22,15,4,4,32,0,0,0,1,Low
25,166817,514,16,12,11,5,36,0,0,1,0,Low
39,222803,631,17,15,9,2,34,0,0,0,0,Low
27,116984,427,9,12,4,2,26,0,1,0,0,Low
56,400127,568,20,25,4,0,45,1,0,0,1,Medium
43,320595,834,28,21,16,1,55,0,1,0,1,Medium
64,385887,665,20,14,11,5,42,1,0,1,1,Medium
36,363618,647,23,16,10,3,39,0,0,0,0,Low
43,222608,441,15,6,3,3,31,0,0,1,1,Low
58,42150,444,11,5,4,2,14,1,0,1,0,Low
63,305550,544,21,14,11,2,33,0,0,1,0,Low
33,180853,741,16,6,4,2,39,0,0,0,1,Low
68,218489,589,8,16,10,4,24,0,1,1,0,Medium
63,408191,411,17,17,11,4,39,1,0,0,1,Medium
59,416115,513,27,6,11,5,36,0,0,1,1,Low
39,395301,499,21,17,7,10,44,0,1,0,0,Medium
66,48325,704,13,14,7,3,32,1,0,0,0,Low
56,229756,720,31,22,3,6,46,0,0,0,0,Low
51,386559,306,20,12,13,3,36,1,0,0,1,Medium
45,234541,824,27,13,12,5,43,0,1,1,1,High
63,432652,585,26,13,18,2,52,1,1,1,1,High
51,47669,688,9,11,5,2,22,1,1,0,1,Medium
35,419529,715,34,17,8,5,50,1,0,0,1,Medium
27,364154,449,22,9,10,3,36,0,0,1,1,Low
24,237836,727,18,13,12,2,42,1,0,1,1,Medium
37,162915,592,11,6,13,5,34,1,0,0,0,Low
28,226681,633,18,9,6,2,29,0,0,1,1,Medium
35,80812,571,14,15,5,1,23,1,1,0,0,Medium
30,308203,342,12,8,8,3,27,0,1,0,1,Medium
36,378413,767,28,15,8,2,48,0,1,0,1,Medium
42,282862,618,18,16,18,1,37,1,1,1,1,High
56,201840,791,19,9,9,7,38,1,0,0,0,Medium
23,55395,826,20,9,6,1,30,1,0,0,0,Medium
48,312346,471,18,8,12,2,49,1,0,0,1,Medium
23,436489,620,33,12,15,4,41,0,0,0,1,Medium
56,472105,343,22,10,10,3,42,0,1,1,1,Medium
39,259707,831,29,17,12,3,47,1,0,1,0,High
35,277181,753,23,18,5,6,40,1,1,0,0,Medium
41,234120,382,9,12,10,1,28,0,1,0,0,Medium
39,254839,842,14,15,11,9,44,1,0,0,0,Medium
31,249882,621,25,12,11,3,45,1,1,1,0,Medium
46,133235,533,14,8,10,2,26,1,0,1,0,Medium
23,75510,839,18,11,14,3,33,1,1,0,0,Medium
46,117945,551,13,7,10,2,31,1,1,0,0,Low
54,272802,748,20,14,20,2,48,1,0,0,1,Medium
57,280168,538,17,15,6,3,32,0,0,0,1,Medium
52,362793,789,23,17,11,3,48,1,0,1,0,High
35,398867,763,25,20,13,5,53,0,1,0,1,Medium
22,32881,613,12,9,9,0,23,0,0,0,1,Low
67,338057,474,20,8,11,4,40,1,1,0,1,Medium
37,141860,479,24,8,8,0,26,0,1,0,1,Medium
67,376929,684,18,13,11,1,54,1,0,0,0,Medium
24,488253,594,26,4,19,7,47,0,0,0,1,Low
56,354601,514,18,9,8,1,37,0,1,0,1,Medium
62,196415,374,22,9,5,4,22,0,0,0,1,Low
27,485605,643,17,18,21,3,58,0,0,0,0,Low
46,169728,441,18,7,3,2,23,0,1,1,1,Medium
34,297885,498,9,12,6,2,38,0,0,0,1,Low
55,177733,470,12,13,11,1,31,0,1,0,1,Low
29,389235,705,23,21,16,9,59,1,1,0,1,High
42,320834,527,17,14,14,3,45,1,1,1,0,Medium
55,324977,710,27,10,11,6,44,0,0,0,0,Low
25,132566,361,10,4,1,3,17,1,1,1,1,Medium
46,101240,626,19,9,4,4,25,0,0,0,0,Low
36,136898,432,13,9,4,2,22,1,0,0,1,Low
25,369855,488,21,12,8,0,41,1,0,1,0,Medium
66,480357,655,32,13,8,5,55,1,0,0,1,Medium
33,239304,370,3,8,8,2,31,0,1,0,0,Medium
53,331167,562,23,13,10,4,33,0,1,0,1,Medium
53,332353,605,22,15,12,3,52,0,1,1,1,Medium
49,385734,523,16,13,12,4,40,1,1,1,0,Medium
34,378756,627,19,10,13,5,49,0,1,1,1,Medium
52,110522,373,13,7,6,1,23,0,0,0,0,Low
35,403798,810,24,16,9,7,66,1,1,1,0,High
41,175512,441,14,8,4,5,32,0,0,0,1,Low
39,149107,401,17,6,6,4,22,1,0,0,1,Low
50,431176,364,22,16,6,6,47,0,0,1,1,Medium
27,52462,492,5,9,8,4,27,0,1,0,1,Low
53,309965,361,13,6,2,2,36,0,0,0,0,Low
50,480988,831,41,23,17,4,57,0,0,1,1,High
64,450474,540,28,10,13,5,34,0,0,1,0,Low
23,122889,709,15,11,5,1,28,0,1,0,1,Medium
44,118952,599,11,10,11,5,37,0,0,0,0,Low
40,223596,494,16,11,6,4,27,1,1,0,0,Medium
52,445331,753,30,18,9,4,56,1,0,0,0,Medium
26,410210,600,23,15,10,3,52,1,0,1,1,Medium
40,207505,755,10,11,12,3,34,0,1,0,0,Medium
55,251576,501,12,8,9,5,47,0,1,0,0,Low
31,249393,601,16,12,10,2,40,0,1,0,0,Medium
46,371508,636,22,15,9,4,51,0,1,1,0,Medium
23,362221,331,14,10,8,3,33,0,0,1,0,Medium
32,332788,397,21,9,11,3,19,0,0,1,1,Low
52,354787,490,17,13,10,6,48,1,1,1,1,High
36,305455,840,25,22,5,5,48,0,1,0,1,High
30,284084,347,10,8,4,2,23,1,0,0,1,Medium
44,159466,549,15,10,4,2,27,0,1,0,0,Low
40,60531,525,10,5,7,3,23,0,0,1,0,Low
30,44588,571,9,9,3,0,22,0,0,1,0,Low
56,341560,784,21,11,10,4,51,0,0,1,0,Medium
42,173452,627,14,12,5,4,25,1,0,0,1,Medium
30,203717,479,17,6,3,1,18,0,0,0,1,Low
49,441034,322,16,11,5,5,42,1,1,0,0,Medium
67,191929,669,15,11,12,1,41,0,1,0,1,Medium
28,51711,544,10,6,6,3,22,0,1,0,1,Low
37,166169,459,5,9,7,3,26,0,0,0,0,Low
37,408492,672,30,21,8,4,37,1,0,0,0,Medium
54,189465,584,11,10,7,0,32,0,0,0,0,Low
25,314220,820,22,18,7,2,47,1,1,0,1,High
25,376418,749,35,12,15,4,49,1,1,0,1,High
60,349753,435,21,12,13,3,39,0,0,1,1,Low
61,190389,395,10,10,6,4,31,0,1,0,1,Low
38,88480,418,9,11,6,3,20,0,1,0,1,Medium
58,299188,673,17,4,6,4,30,0,1,1,0,Medium
60,494249,573,31,21,22,5,55,0,1,0,0,Medium
50,280309,476,15,11,13,1,31,1,1,1,1,Medium
57,85486,576,8,7,11,3,28,0,0,0,0,Low
59,85162,437,6,8,6,2,30,0,1,1,0,Low
60,240359,431,18,11,9,4,31,0,0,1,1,Medium
58,59882,343,7,4,5,0,17,0,0,1,1,Low
56,84078,422,10,5,7,3,22,0,1,0,0,Low
28,350878,435,15,15,11,2,43,1,0,0,1,Medium
48,268680,666,23,13,14,4,38,0,0,1,0,Medium
49,138730,672,12,22,8,3,45,0,0,0,1,Low
43,204898,425,16,9,5,3,26,0,1,0,1,Medium
35,380129,738,20,24,11,6,45,0,1,0,1,Medium
28,336172,350,16,10,11,4,27,0,0,0,0,Low
58,474547,436,24,11,13,2,54,1,1,1,1,Medium
43,128938,457,11,10,9,2,20,0,0,0,1,Low
26,148319,355,3,3,6,1,19,1,1,0,0,Low
23,62543,727,13,5,8,1,24,1,1,1,0,Medium
48,154279,742,17,18,10,5,34,0,0,1,0,Medium
42,59362,625,15,14,7,3,25,0,0,0,1,Low
59,450531,379,17,18,10,6,40,1,1,0,0,Medium
36,188818,773,15,16,16,2,37,1,1,0,1,Medium
42,433273,676,29,10,11,1,48,1,1,1,0,High
31,272721,632,17,10,6,4,33,1,1,0,1,Medium
44,335059,474,13,14,14,4,43,1,0,1,1,Medium
60,444277,740,25,22,15,2,63,0,0,0,0,Medium
26,343514,425,17,13,7,4,33,0,0,1,0,Low
22,195229,518,15,5,10,2,44,1,0,0,1,Medium
34,403519,577,28,12,8,2,44,0,1,0,1,Medium
42,172394,784,15,16,9,0,50,0,1,0,1,Medium
47,99812,440,8,10,5,2,19,0,0,0,1,Low
66,326161,409,20,14,8,2,37,1,0,0,0,Medium
42,348936,351,21,9,9,2,34,1,1,0,1,Medium
39,450958,618,32,13,11,4,48,1,1,1,1,Medium
58,258208,498,16,10,5,2,28,0,0,0,0,Low
66,488024,345,21,15,12,1,50,0,1,0,1,Medium
53,421342,804,30,17,13,4,68,1,0,0,0,Medium
57,309773,839,27,12,13,5,43,0,1,0,0,Medium
38,158614,813,28,12,11,7,38,0,1,0,1,Medium
56,431461,316,19,12,9,1,26,0,0,0,1,Low
32,126950,614,14,6,4,0,29,0,0,0,0,Low
42,204942,735,28,22,7,2,26,0,0,0,1,Medium
47,94829,687,14,12,6,2,27,0,1,0,0,Medium
25,275602,376,11,17,6,2,24,1,1,0,1,Medium
55,40588,670,10,6,4,3,18,0,0,0,0,Low
69,423658,464,16,11,14,0,36,0,0,0,1,Low
39,397424,323,18,18,4,4,29,0,0,0,1,Low
61,332865,334,13,7,13,2,20,0,1,0,1,Medium
56,198217,813,18,14,18,1,33,1,0,0,1,Medium
62,302743,760,22,12,14,3,44,1,1,1,0,High
50,364738,437,22,9,9,0,42,0,0,1,0,Low
50,238502,564,15,14,12,2,33,0,0,0,1,Medium
59,164011,632,13,12,9,1,28,0,1,1,1,Medium
63,282856,487,19,8,5,7,40,0,0,0,1,Low
42,314293,362,15,11,10,2,20,0,0,1,1,Low
63,419760,578,19,22,12,5,56,0,1,0,1,Medium
34,227639,841,21,16,9,6,50,1,0,0,1,Medium
62,171280,470,13,6,3,0,22,0,0,0,0,Low
38,227170,802,18,16,8,4,45,1,1,0,1,High
30,401178,832,25,22,17,3,51,1,0,1,1,High
62,210564,598,13,9,3,3,22,0,0,1,0,Low
22,50951,500,5,9,3,2,20,1,1,1,1,Low
23,209992,434,14,11,7,4,39,0,0,1,0,Low
69,76766,571,9,11,5,0,29,0,1,0,1,Low
50,349158,834,25,16,9,5,39,0,0,0,1,Medium
54,189423,741,18,10,20,2,31,0,1,0,1,Medium
31,472602,386,20,18,10,6,50,1,1,1,0,Medium
61,117122,330,5,7,5,4,10,0,1,0,0,Low
42,301452,420,16,12,8,2,27,0,0,0,1,Medium
49,351396,368,18,11,5,1,36,0,1,0,0,Medium
32,498361,795,28,18,6,8,62,0,1,0,1,High
55,113211,445,13,3,6,4,30,0,0,0,0,Low
29,451280,632,28,19,15,5,46,0,1,0,0,Medium
43,477095,780,25,14,15,3,57,0,0,0,0,Medium
29,156534,562,19,15,10,3,24,0,1,1,1,Medium
36,38720,592,17,14,7,5,22,1,0,0,0,Low
38,418348,728,20,21,18,1,41,0,0,1,0,Medium
44,466156,385,20,14,5,2,30,0,1,0,0,Medium
45,109993,315,11,7,5,0,14,0,0,0,0,Low
66,491691,417,26,20,10,3,38,1,0,0,1,Medium
40,339257,569,23,18,11,3,37,0,0,1,0,Low
26,341070,694,17,14,7,0,44,0,1,0,1,Medium
53,461419,461,16,12,15,2,46,0,1,1,1,Medium
65,249973,403,12,7,10,2,27,0,1,0,1,Medium
22,428608,466,25,8,6,7,47,1,1,1,1,Medium
44,55905,599,16,13,1,0,16,0,0,1,1,Low
58,234580,327,13,6,6,0,30,0,1,0,0,Medium
29,80385,723,17,13,9,7,22,1,0,0,0,Low
34,60653,455,4,5,2,3,21,0,0,0,0,Low
29,121865,623,14,11,8,3,31,0,0,0,1,Low
44,155813,647,17,9,13,3,31,1,0,0,0,Low
64,175871,420,12,7,9,1,22,1,0,1,0,Low
22,221175,827,25,12,13,3,39,0,1,0,0,High
66,278535,463,18,15,6,2,51,0,0,0,0,Low
45,45052,361,5,6,3,0,24,1,1,0,1,Low
56,167116,639,15,13,9,1,36,0,1,0,1,Medium
45,180943,611,14,12,14,2,29,1,0,0,1,Low
38,250375,675,20,15,8,2,39,0,1,1,0,Medium
26,443450,645,22,13,13,5,41,0,1,0,1,Medium
41,51381,449,12,10,4,1,20,0,1,0,1,Low
42,178346,476,21,8,5,0,35,1,1,1,0,Medium
61,273234,653,19,20,12,3,49,0,0,0,0,Low
52,286017,813,33,14,8,1,60,0,1,1,1,High
67,375252,608,22,19,13,3,38,0,1,1,0,Medium
57,265020,418,13,4,13,3,37,1,0,0,1,Medium
32,79892,818,16,7,14,10,31,1,1,1,1,Medium
36,211593,777,18,16,6,5,34,1,0,0,0,Medium
40,383645,713,24,14,9,3,51,0,1,1,1,Medium
28,244992,650,22,14,11,2,37,0,0,0,0,Low
49,375535,805,23,6,17,4,42,0,1,0,0,Medium
64,310064,494,18,24,11,7,37,1,0,0,1,Medium
26,308846,486,17,14,16,0,35,0,1,1,0,Medium
26,286216,749,15,11,10,7,39,1,0,1,0,Medium
51,294038,795,20,14,12,4,50,1,0,0,1,Medium
53,323129,814,27,13,14,4,45,0,1,1,0,High
29,189359,572,21,7,10,3,23,1,0,0,0,Low
31,288771,351,14,8,6,4,34,0,0,1,0,Medium
59,155702,562,14,14,7,1,26,0,0,1,1,Low
68,103527,667,8,16,6,1,30,0,0,0,0,Low
53,176511,432,15,5,3,3,23,0,0,1,1,Low
69,420820,524,28,15,12,4,49,0,1,1,0,Medium
49,255692,609,20,9,9,3,36,1,1,0,1,Medium
38,334379,315,11,11,12,3,29,0,1,1,1,Medium
52,188731,494,13,5,5,7,33,1,0,0,1,Low
29,317120,742,19,15,10,4,45,0,1,1,0,Medium
61,265311,602,17,16,13,6,36,1,1,1,0,Medium
46,374787,347,17,8,6,0,23,1,1,1,1,Medium
30,228937,420,20,9,8,1,26,1,1,1,0,Medium
23,399775,798,26,15,13,2,52,0,1,1,0,Medium
